label,feature,mean_abs_shap
property_value_update,date_diff_days,0.0005604136360578579
property_value_update,sign_change,0.019043016953717185
property_value_update,change_one_to_zero,0.02242527248130994
property_value_update,change_one_to_value,0.01484380174770879
property_value_update,change_zero_to_one,0.0011189900935319322
property_value_update,day_added,0.013025540369627586
property_value_update,day_removed,0.027657587738694218
property_value_update,month_added,0.009645990245420047
property_value_update,month_removed,0.022071624650360402
property_value_update,full_cosine_similarity,0.029010389782298723
re_formatting,date_diff_days,0.0005575325637128944
re_formatting,sign_change,0.021796894169916634
re_formatting,change_one_to_zero,0.047093916070659186
re_formatting,change_one_to_value,0.001725979691240908
re_formatting,change_zero_to_one,0.00011868895378155363
re_formatting,day_added,0.010052891863331567
re_formatting,day_removed,0.013333461869732343
re_formatting,month_added,0.00715740594984743
re_formatting,month_removed,0.00573771862666845
re_formatting,full_cosine_similarity,0.01509925851111614
refinement,date_diff_days,0.00014227209993558334
refinement,sign_change,0.001025790043015723
refinement,change_one_to_zero,0.001232952606301996
refinement,change_one_to_value,0.013202177104915114
refinement,change_zero_to_one,0.0011418334788217339
refinement,day_added,0.030039024047886224
refinement,day_removed,0.009594417682062059
refinement,month_added,0.03313422328609166
refinement,month_removed,0.006991310631488467
refinement,full_cosine_similarity,0.014269642246874997
unrefinement,date_diff_days,0.0002879357805541861
unrefinement,sign_change,0.001877698816849654
unrefinement,change_one_to_zero,0.025905875196625242
unrefinement,change_one_to_value,0.0010125353346135783
unrefinement,change_zero_to_one,5.3541545746981224e-05
unrefinement,day_added,0.00810272349609234
unrefinement,day_removed,0.033388475833431956
unrefinement,month_added,0.013341669362718772
unrefinement,month_removed,0.024459190271427445
unrefinement,full_cosine_similarity,0.026211997986840714
OVERALL,change_one_to_zero,0.02416450408872409
OVERALL,full_cosine_similarity,0.021147822131782644
OVERALL,day_removed,0.020993485780980144
OVERALL,month_added,0.015819822211019477
OVERALL,day_added,0.015305044944234429
OVERALL,month_removed,0.014814961044986192
OVERALL,sign_change,0.010935849995874799
OVERALL,change_one_to_value,0.007696123469619598
OVERALL,change_zero_to_one,0.0006082635179705502
OVERALL,date_diff_days,0.0003870385200651304
